پلیps1یکps2فورm22کپی5پروps3خور۴گیمm15استیکQ10فتone,در مسگرآباد,"۱,۰۰۰ تومان",نو,gadMswDC,https://divar.ir/v/پلیps1یکps2فورm22کپی5پروps3خور۴گیمm15استیکQ10فتone/gadMswDC
پلی۲*کپیCDخور۳نصب۵گیم۴فورproبازیfatاستیکps1دستهvr۶,در مسعودیه,"۲,۰۰۰ تومان",نو,QaQfwMej,https://divar.ir/v/پلی۲*کپیCDخور۳نصب۵گیم۴فورproبازیfatاستیکps1دستهvr۶/QaQfwMej
ps4 اسلیم ۱ترا,لحظاتی پیش در دولتخواه شمالی,"۵۰,۰۰۰,۰۰۰ تومان",در حد نو,gaPx8tk3,https://divar.ir/v/ps4 اسلیم ۱ترا/gaPx8tk3
ps4 slim 1traپی اس فور,دقایقی پیش در بهارستان,"۴۷,۵۰۰,۰۰۰ تومان",در حد نو,gaPl8m4a,https://divar.ir/v/ps4 slim 1traپی اس فور/gaPl8m4a
( با یک هارد اکسترنال 1ترابایتی ) PS4 pro 1T 4K,در پونک,"۹۵,۰۰۰,۰۰۰ تومان",در حد نو,gaIdN3vm,https://divar.ir/v/( با یک هارد اکسترنال 1ترابایتی ) PS4 pro 1T 4K/gaIdN3vm
فروشنده وخریدارPs4XBOX0ایکس باکس وان اس پلی استیشن,در صادقیه,"۲۹,۰۰۰,۰۰۰ تومان",کارکرده,AahIbCUh,https://divar.ir/v/فروشنده وخریدارPs4XBOX0ایکس باکس وان اس پلی استیشن/AahIbCUh
ps4 slim 1T / کپی خور فول گیم/ ps4 اسلیم کپی خور,نیم ساعت پیش در حکیمیه,"۵۰,۰۰۰,۰۰۰ تومان",در حد نو,gaPNcLpy,https://divar.ir/v/ps4 slim 1T / کپی خور فول گیم/ ps4 اسلیم کپی خور/gaPNcLpy
پلی استیشن ۴ پرو ۱ ترابایت  Playstation 4 Pro,نیم ساعت پیش در شهرک پرواز,"۵۳,۰۰۰,۰۰۰ تومان",در حد نو,gaPBMmmF,https://divar.ir/v/پلی استیشن ۴ پرو ۱ ترابایت  Playstation 4 Pro/gaPBMmmF
ps4 slim1traدر حدود,نیم ساعت پیش در جهاد,"۳۹,۰۰۰,۰۰۰ تومان",در حد نو,gaPtr25n,https://divar.ir/v/ps4 slim1traدر حدود/gaPtr25n
لوازم پلی۱ ۲ ۴)فورps1دسته۳بازی5کابلUSBبازیAVفلشCD,در مسعودیه,"۱,۰۰۰ تومان",نو,gadUIb7i,https://divar.ir/v/لوازم پلی۱ ۲ ۴)فورps1دسته۳بازی5کابلUSBبازیAVفلشCD/gadUIb7i
