title,address,description,state,token,url
فروش ۴ عدد کیس و ۳ عدد مانیتور خانگی و اداری,در شهید رجایی,"۱۳,۰۰۰,۰۰۰ تومان",کارکرده,gaOhirCg,https://divar.ir/v/فروش ۴ عدد کیس و ۳ عدد مانیتور خانگی و اداری/gaOhirCg
کامپیوتر رومیزی اپل,در فلسطین (میدان انقلاب),"۱۲۵,۰۰۰,۰۰۰ تومان",در حد نو,gaUNdF3s,https://divar.ir/v/کامپیوتر رومیزی اپل/gaUNdF3s
سیستم گیمینگ Core Ultra 5 225f + RTX 5070,در فلسطین (میدان انقلاب),"۲۴۵,۰۰۰,۰۰۰ تومان",نو,gaWp2wrS,https://divar.ir/v/سیستم گیمینگ Core Ultra 5 225f + RTX 5070/gaWp2wrS
سیستم 4090ROG/Core-i9-14900K,در نیروی هوایی (پیروزی),"۷۵۰,۰۰۰,۰۰۰ تومان",کارکرده,gaSlkF1I,https://divar.ir/v/سیستم 4090ROG/Core-i9-14900K/gaSlkF1I
مینی کیس دل,دقایقی پیش در شمیران‌نو,"۹,۰۰۰,۰۰۰ تومان",کارکرده,gaWlGwkq,https://divar.ir/v/مینی کیس دل/gaWlGwkq
آیمک ۲۰۱۷ با جعبه و کیبرد و موس,دقایقی پیش در فلسطین (میدان انقلاب),"۷۳,۰۰۰,۰۰۰ تومان",در حد نو,gaWlWnkh,https://divar.ir/v/آیمک ۲۰۱۷ با جعبه و کیبرد و موس/gaWlWnkh
کیس hp,در شهرآرا,"۱,۰۰۰ تومان",در حد نو,gaU1N-2P,https://divar.ir/v/کیس hp/gaU1N-2P
کیس نسل ۱۲ رم ۱۶ گرافیک ۴ هارد m2 240,یک ربع پیش در اکباتان,"۶۳,۰۰۰,۰۰۰ تومان",در حد نو,gaWdm_bv,https://divar.ir/v/کیس نسل ۱۲ رم ۱۶ گرافیک ۴ هارد m2 240/gaWdm_bv
کیس کامپیوتر,یک ربع پیش در اوقاف,"۶,۵۰۰,۰۰۰ تومان",در حد نو,gaWdWV6H,https://divar.ir/v/کیس کامپیوتر/gaWdWV6H
کیس کامپیوتر,یک ربع پیش در جنت‌آباد شمالی,"۲,۵۰۰,۰۰۰ تومان",کارکرده,gaWdWW0I,https://divar.ir/v/کیس کامپیوتر/gaWdWW0I
کیس گیمینگ 1660 تمیز آماده بازی و رندر,یک ربع پیش در فردوس,"۶۶,۰۰۰,۰۰۰ تومان",کارکرده,gaWd2SP2,https://divar.ir/v/کیس گیمینگ 1660 تمیز آماده بازی و رندر/gaWd2SP2
مک مینی M2 با حافظه ۵۱۲ گیگ,یک ربع پیش در امانیه,"۹۸,۰۰۰,۰۰۰ تومان",در حد نو,gaWZmdGA,https://divar.ir/v/مک مینی M2 با حافظه ۵۱۲ گیگ/gaWZmdGA
