title,address,description,state,token,url
مینی کیس hp 8300 G1 G2 G3 نسل 2 3 4 6 7 8 core i5,در میدان ولیعصر,"۱۴,۰۰۰,۰۰۰ تومان",در حد نو,QafH3MkT,https://divar.ir/v/مینی کیس hp 8300 G1 G2 G3 نسل 2 3 4 6 7 8 core i5/QafH3MkT
فروش خریدار کیس و مانیتور قدیمی,در جنت‌آباد مرکزی,"۲,۰۰۰,۰۰۰ تومان",کارکرده,AaHJxs3l,https://divar.ir/v/فروش خریدار کیس و مانیتور قدیمی/AaHJxs3l
کیس ،مانیتور مدل سامسونگ،کیبورد و موس در حد نو,دقایقی پیش در خانی‌آباد,"۷,۵۰۰,۰۰۰ تومان",در حد نو,gaW9moZD,https://divar.ir/v/کیس ،مانیتور مدل سامسونگ،کیبورد و موس در حد نو/gaW9moZD
سوپر سیستم گیم و رندر با 128گیگ رم با گرافیک 8گیگ,یک ربع پیش در آذربایجان,"۸۰,۰۰۰,۰۰۰ تومان",در حد نو,gaWxmeFA,https://divar.ir/v/سوپر سیستم گیم و رندر با 128گیگ رم با گرافیک 8گیگ/gaWxmeFA
سیستم گیمینگ Core Ultra 5 225f + RTX 5070,در فلسطین (میدان انقلاب),"۲۴۵,۰۰۰,۰۰۰ تومان",نو,gaWp2wrS,https://divar.ir/v/سیستم گیمینگ Core Ultra 5 225f + RTX 5070/gaWp2wrS
سیستم 4090ROG/Core-i9-14900K,در نیروی هوایی (پیروزی),"۷۵۰,۰۰۰,۰۰۰ تومان",کارکرده,gaSlkF1I,https://divar.ir/v/سیستم 4090ROG/Core-i9-14900K/gaSlkF1I
مینی کیس دل,نیم ساعت پیش در شمیران‌نو,"۹,۰۰۰,۰۰۰ تومان",کارکرده,gaWlGwkq,https://divar.ir/v/مینی کیس دل/gaWlGwkq
آیمک ۲۰۱۷ با جعبه و کیبرد و موس,نیم ساعت پیش در فلسطین (میدان انقلاب),"۷۳,۰۰۰,۰۰۰ تومان",در حد نو,gaWlWnkh,https://divar.ir/v/آیمک ۲۰۱۷ با جعبه و کیبرد و موس/gaWlWnkh
کیس hp,در شهرآرا,"۱,۰۰۰ تومان",در حد نو,gaU1N-2P,https://divar.ir/v/کیس hp/gaU1N-2P
کیس نسل ۱۲ رم ۱۶ گرافیک ۴ هارد m2 240,نیم ساعت پیش در اکباتان,"۶۳,۰۰۰,۰۰۰ تومان",در حد نو,gaWdm_bv,https://divar.ir/v/کیس نسل ۱۲ رم ۱۶ گرافیک ۴ هارد m2 240/gaWdm_bv
کیس کامپیوتر,نیم ساعت پیش در اوقاف,"۶,۵۰۰,۰۰۰ تومان",در حد نو,gaWdWV6H,https://divar.ir/v/کیس کامپیوتر/gaWdWV6H
کیس گیمینگ 1660 تمیز آماده بازی و رندر,نیم ساعت پیش در فردوس,"۶۶,۰۰۰,۰۰۰ تومان",کارکرده,gaWd2SP2,https://divar.ir/v/کیس گیمینگ 1660 تمیز آماده بازی و رندر/gaWd2SP2
مک مینی M2 با حافظه ۵۱۲ گیگ,نیم ساعت پیش در امانیه,"۹۸,۰۰۰,۰۰۰ تومان",در حد نو,gaWZmdGA,https://divar.ir/v/مک مینی M2 با حافظه ۵۱۲ گیگ/gaWZmdGA
مانیتور کرو سامسونگ سری c اصل گیمینگ.  فوری فروشی,نیم ساعت پیش در گلستان (شهرک راه آهن),"۳۰,۰۰۰,۰۰۰ تومان",در حد نو,gaWVmy9A,https://divar.ir/v/مانیتور کرو سامسونگ سری c اصل گیمینگ.  فوری فروشی/gaWVmy9A
فروش و خرید کیس های قدیمی,در نارمک,"۲۰,۰۰۰,۰۰۰ تومان",کارکرده,gaHt40nd,https://divar.ir/v/فروش و خرید کیس های قدیمی/gaHt40nd
