title,address,description,state,token,url
فروش کیس گیمینگ حرفه‌ای در حد نو,در الهیه,"۱۴۵,۰۰۰,۰۰۰ تومان",در حد نو,gaTR9FrN,https://divar.ir/v/فروش کیس گیمینگ حرفه‌ای در حد نو/gaTR9FrN
آیمک ۲۷ اینچ اپل مدل ۲۰۱۷ با کارت گرافیک 8گیگ مجزا,در فلسطین (میدان انقلاب),"۹۵,۰۰۰,۰۰۰ تومان",در حد نو,gaPZkGPB,https://divar.ir/v/آیمک ۲۷ اینچ اپل مدل ۲۰۱۷ با کارت گرافیک 8گیگ مجزا/gaPZkGPB
سیستم کامل کامپیوتر (رایگان برای مدارس),دقایقی پیش در عباس‌آباد,"۱,۰۰۰,۰۰۰ تومان",کارکرده,gaVVxPPd,https://divar.ir/v/سیستم کامل کامپیوتر (رایگان برای مدارس)/gaVVxPPd
فروش کامپیوتر گیمینگ i7 12700k rtx3060 زیر قیمت,در تهرانپارس جنوبی,"۱۷۹,۵۰۰,۰۰۰ تومان",در حد نو,gaKcBbuY,https://divar.ir/v/فروش کامپیوتر گیمینگ i7 12700k rtx3060 زیر قیمت/gaKcBbuY
کیس کامل نسل ۴,دقایقی پیش در سوهانک,"۱۵,۰۰۰,۰۰۰ تومان",در حد نو,gaVJBXW7,https://divar.ir/v/کیس کامل نسل ۴/gaVJBXW7
کامپیوتر و میز کامپیوتر,یک ربع پیش در شهید رجایی,"۱۰,۰۰۰,۰۰۰ تومان",در حد نو,gaVBx3QC,https://divar.ir/v/کامپیوتر و میز کامپیوتر/gaVBx3QC
کامپیوتر کیس برند Hp Tower Z2 G4 باضمانت,یک ربع پیش در جردن,"۴۴,۰۰۰,۰۰۰ تومان",کارکرده,gaVBBW1p,https://divar.ir/v/کامپیوتر کیس برند Hp Tower Z2 G4 باضمانت/gaVBBW1p
فروش/واگذاری سیستم های گیمنت,در تهرانپارس غربی,"۱۰۰,۰۰۰ تومان",کارکرده,gaCpHyYv,https://divar.ir/v/فروش/واگذاری سیستم های گیمنت/gaCpHyYv
کیس گیم چهار  هسته   رم 8 گرافیک hd7700 gddr5,در تهرانسر غربی,"۱۳,۸۰۰,۰۰۰ تومان",در حد نو,ga2ke8-G,https://divar.ir/v/کیس گیم چهار  هسته   رم 8 گرافیک hd7700 gddr5/ga2ke8-G
کیس کامپیوتر گیمینگ/گرافیکrx580/رم16/ssd/hdd,نیم ساعت پیش در فلسطین (میدان انقلاب),"۷۳,۰۰۰,۰۰۰ تومان",در حد نو,gaVlg92Q,https://divar.ir/v/کیس کامپیوتر گیمینگ/گرافیکrx580/رم16/ssd/hdd/gaVlg92Q
